date,origin,dest,train,dep_time,dep_delay_min,arr_delay_min,arr_delay_sec,canceled
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 517,18:55,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3616,19:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2817,19:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1518,19:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 518,19:55,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3617,20:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2818,20:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1519,20:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 519,20:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3618,21:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2819,21:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1520,21:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 520,21:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3619,22:11,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 2820,22:13,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 1521,22:36,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 521,22:56,0,0,0,0
2026-08-16,Brussels-South/Brussels-Midi,Leuven,IC 3620,23:11,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3405,06:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10306,07:10,1,0,0,0
2026-08-16,Halle,Brussels-North,IC 3406,07:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10307,08:10,1,0,0,0
2026-08-16,Halle,Brussels-North,IC 3407,08:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10308,09:10,2,0,0,0
2026-08-16,Halle,Brussels-North,IC 3408,09:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10309,10:10,0,1,60,0
2026-08-16,Halle,Brussels-North,IC 3409,10:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3410,11:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10311,12:10,0,2,120,0
2026-08-16,Halle,Brussels-North,IC 3411,12:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10312,13:10,3,0,0,1
